shared_buffers,work_mem,random_page_cost,effective_io_concurrency,max_wal_size,max_parallel_workers_per_gather,max_parallel_workers,max_worker_processes,checkpoint_timeout,checkpoint_completion_target,effective_cache_size,temp_buffers,wal_buffers,bgwriter_lru_maxpages,bgwriter_delay,default_statistics_target,deadlock_timeout,Throughput,Timestamp
6144,25600,7,400,4,16,4,4,10,0.9,524288,1024,9728,1500,150,85,1000,-156.98507115145577,230248430
7680,19456,7,400,4,16,8,10,10,0.9,524288,4608,6656,1000,150,95,500,-216.59403049420308,232627702
7168,17408,7.0,300,4,16,8,10,10,0.9,524288,1536,8704,1500,150,100,1000,-242.25496001137748,234986965
7680,25600,7.0,400,24,16,8,10,10,0.9,1048576,6656,8192,2000,150,75,1000,-168.98484745371684,237223519
6656,17408,7.0,300,4,16,8,10,10,0.9,524288,1536,10752,1500,150,75,1000,-169.18156385813197,239135413
7168,17408,7.5,400,16,16,8,10,10,0.9,1048576,1536,10752,100,150,75,1000,-243.58332117527783,241652751
7168,25600,7.0,400,24,16,8,10,10,0.9,1048576,6656,6656,1500,150,95,1000,-180.29125212285942,244256954
7680,25600,7.5,100,24,8,4,4,5,0.9,524288,6656,10752,1500,200,85,3000,-84.40766884131864,246272215
7680,25600,7.5,400,24,8,8,10,10,0.9,524288,6656,8192,1500,150,75,1000,-222.28622736304013,248414534
7680,25600,6,400,24,16,8,10,5,0.9,524288,6656,8192,1500,150,75,1000,-157.41444267697943,250992714
7680,25600,7.0,400,24,16,8,10,10,0.9,1048576,6656,8192,1500,150,75,3000,-155.9298933174449,253557918
7680,25600,7,200,24,16,8,4,10,0.9,524288,6656,8192,1500,150,75,1000,-130.94008200702265,255591384
7680,21504,7.0,400,24,16,8,10,10,0.9,1048576,6656,8192,1500,150,75,1000,-146.79790353329344,257956499
7168,14336,7.0,300,4,16,8,10,10,0.9,524288,1536,10752,1500,150,75,1000,-215.72045554852286,260422329
7168,25600,7.0,400,24,16,8,10,10,0.9,1048576,6656,8192,1500,150,75,1000,-141.2729793752981,262655228
7680,25600,7.5,400,24,16,8,10,10,0.9,524288,6656,8192,1500,150,75,3000,-169.18801444347946,264775043
7680,25600,7,400,24,16,8,10,10,0.9,1048576,6656,8192,1500,150,75,1000,-327.5299294025614,267097449
768,9216,6.0,400,64,2,8,4,10,0.9,1048576,1536,11776,2000,250,75,8000,-103.81030715317996,269391135
2560,51200,7.5,1,24,1,8,4,10,0.9,1572864,13824,12800,1500,200,75,6000,-185.30789557643968,271351138
7680,27648,7.5,400,24,16,8,10,10,0.9,524288,6656,8192,1500,150,75,1000,-269.36123799072874,273529462
7680,25600,7,400,24,16,8,10,10,0.9,1572864,6656,8192,1500,150,75,1000,-226.1648231152403,275954055
1280,17408,8.0,100,16,4,4,4,10,0.9,3145728,9728,11776,1500,300,100,1000,-109.68549976331711,278243288
1024,7168,1.0,300,4,2,8,4,10,0.9,524288,1024,6656,1500,150,125,3000,-121.81831340730878,280251668
2560,46080,1.1,100,32,16,8,4,5,0.9,4194304,6656,3584,50,150,95,8000,-232.67719704520837,282541668
7680,19456,0.5,200,4,8,4,4,5,0.9,3145728,6656,8192,1000,150,95,1000,-137.0931852886874,284952685
7680,25600,7.0,400,20,16,8,10,10,0.9,524288,6656,9728,1500,150,75,1000,-176.19824879223893,287243135
7680,25600,7.0,400,24,16,4,10,10,0.9,1048576,6656,8192,1500,150,75,1000,-211.82465454329085,289436633
5632,21504,0.1,100,8,16,4,10,5,0.9,4194304,512,10752,50,300,125,1000,-263.64723722719253,291789542
7680,25600,7.5,400,32,16,8,10,10,0.9,524288,6656,8192,1500,150,75,1000,-120.5483258892733,293903518
3072,51200,5.5,1,32,2,8,4,10,0.9,2016383,3584,8192,2000,500,125,1000,-183.25125705647366,295878886
7680,25600,7.5,400,24,16,8,10,10,0.9,1048576,6656,8192,1500,150,75,1000,-155.66990506963793,298390643
3584,15360,2.5,200,24,1,8,4,5,0.9,4194304,2560,512,100,150,75,500,-119.27986212122659,300771037
7680,27648,7.0,400,24,16,8,10,10,0.9,1048576,6656,8192,1500,150,75,1000,-203.5725365101374,302774467
6656,35840,5.0,1,24,8,8,4,5,0.9,3145728,512,1536,2000,300,100,8000,-168.49832716517125,305152823
1792,29696,2.0,1,16,16,8,10,5,0.9,2016383,12800,12800,500,250,75,500,-127.09489363534263,307626961
640,27648,0.5,300,32,1,4,10,10,0.9,1048576,5632,14848,100,150,115,1000,-84.03491627167111,309707358
7680,25600,7.5,400,24,16,8,10,10,0.9,524288,4608,8192,1500,150,75,1000,-162.05496355599942,312039180
7680,40960,2.0,100,8,1,4,4,10,0.9,6291456,1024,9728,50,200,85,1000,-171.90665409971723,314503786
2048,21504,3.0,200,20,16,4,10,10,0.9,2016383,3584,10752,50,500,85,1000,-135.7166491526593,316691016
6656,7168,6.0,400,4,8,4,4,10,0.9,6291456,14848,4608,1000,200,115,500,-111.33783122057646,319112021
7680,25600,7.5,400,24,16,8,10,10,0.9,524288,7680,8192,1500,150,75,1000,-274.36817183839827,321712669
5632,6990,2.5,100,4,8,4,4,5,0.9,1048576,1024,8192,100,150,95,500,-107.06322271835786,323958747
7680,25600,7,300,24,16,8,10,10,0.9,1048576,6656,8192,1500,150,75,1000,-190.53487273064397,325998274
7680,25600,7,400,24,16,8,10,10,0.9,1048576,6656,8192,1500,150,85,1000,-156.52653518933377,328453770
3072,17408,0.1,100,20,4,8,4,10,0.9,1572864,13824,512,100,300,125,8000,-98.42990891181395,330834140
5120,6990,4.5,400,24,2,8,4,5,0.9,3145728,5632,10752,500,500,85,500,-124.94342439455563,332897177
3072,21504,5.5,1,20,8,8,10,5,0.9,3145728,15872,8704,100,300,115,6000,-188.46829774360822,335372356
7680,15360,0.1,200,4,1,8,4,10,0.9,2016383,4608,8704,100,500,115,6000,-192.1564656582761,337752568
7680,25600,6.5,400,24,16,8,10,10,0.9,1048576,6656,8192,1500,150,75,1000,-137.0114945213146,340111509
7680,25600,7.5,400,24,16,8,10,10,0.9,524288,6656,8192,1000,150,75,1000,-217.429431074674,342459352
2048,21504,2.0,200,32,8,8,4,10,0.9,2016383,2560,512,1500,150,85,500,-183.60405020852494,345090287
2048,14336,2.0,1,32,8,8,4,5,0.9,2016383,2560,512,100,150,85,500,-61.469950866760925,347275651
7680,25600,7.5,400,24,16,8,10,10,0.9,524288,6656,6656,1500,150,75,1000,-145.47330534984584,349335312
7680,19456,8.0,300,32,8,8,10,10,0.9,1048576,7680,1536,50,500,85,6000,-196.70999482193724,351737378
2048,14336,2.5,1,32,8,8,4,10,0.9,2016383,2560,512,100,150,85,500,-159.94847448950958,354005461
2560,8192,8.0,1,4,1,4,10,5,0.9,1572864,4608,3584,1500,500,85,500,-166.49157211360549,356112015
7680,25600,7.0,400,24,16,8,10,10,0.9,524288,6656,8192,1500,150,75,1000,-110.59989363257996,358683609
7680,25600,7.5,400,24,16,8,10,10,0.9,524288,6656,8192,1500,200,75,1000,-265.559897532178,361272244
7680,25600,7.0,400,24,16,8,10,10,0.9,1048576,5632,8192,1500,150,75,1000,-138.03831780103175,363407434
7168,51200,2.5,300,4,16,8,10,5,0.9,6291456,3584,6656,50,250,95,500,-180.82996087593105,365559192
2048,21504,2.0,1,32,8,8,4,10,0.9,2016383,2560,2560,100,150,85,500,-231.494304627105,367970865
7680,25600,7.0,400,24,16,8,10,10,0.9,1048576,6656,8192,1500,150,75,500,-159.22130992292207,370196585
7680,25600,7.0,400,24,16,8,10,5,0.9,1048576,6656,8192,1500,150,75,1000,-134.71546948317737,372320750
7680,17408,2.5,200,32,16,8,10,10,0.9,6291456,512,512,50,300,115,500,-201.86486301887768,374776607
7680,25600,7.0,400,24,16,8,10,10,0.9,1048576,6656,8704,1500,150,75,1000,-185.5114832876379,377364316
2048,21504,2.0,200,20,8,8,4,5,0.9,2016383,2560,512,100,150,85,500,-133.0831887948582,379646381
6144,13312,0.5,100,8,8,8,10,10,0.9,2016383,1536,512,100,200,115,3000,-178.08823578252216,381747149
7680,25600,7.0,400,20,16,8,10,10,0.9,1048576,6656,8192,1500,150,75,1000,-177.2445368998109,384219271
7680,25600,8,400,24,16,8,10,10,0.9,524288,6656,8192,1500,150,75,1000,-143.67896033314594,386737543
7680,23552,7.5,400,24,16,8,10,10,0.9,524288,6656,8192,1500,150,75,1000,-149.95852532655675,388828983
7168,15360,8,100,8,4,8,10,10,0.9,1048576,1536,3584,100,250,85,500,-225.69643204356456,391203286
2048,25600,2.0,200,32,8,8,4,10,0.9,2016383,2560,512,100,150,85,500,-165.65322160437668,393567651
7680,25600,7.5,400,24,16,8,10,10,0.9,524288,6656,7680,1500,150,75,1000,-138.9416627816262,395728180
7680,25600,7.5,300,24,16,8,10,10,0.9,524288,6656,8192,1500,150,75,1000,-216.50985393379216,398149716
7168,17408,7.0,300,4,2,8,10,10,0.9,524288,1536,10752,1500,200,75,1000,-239.07655274828312,400523487
5120,6144,0.5,300,8,2,4,10,10,0.9,1048576,512,10752,1000,250,115,500,-131.1081223046616,402652621
