shared_buffers,work_mem,random_page_cost,effective_io_concurrency,max_wal_size,max_parallel_workers_per_gather,max_parallel_workers,max_worker_processes,checkpoint_timeout,checkpoint_completion_target,effective_cache_size,temp_buffers,wal_buffers,bgwriter_lru_maxpages,bgwriter_delay,default_statistics_target,deadlock_timeout,Throughput,Timestamp
2048,14336,5.0,1,16,8,4,4,10,0.9,8388608,3584,512,1500,200,85,8000,-1012.2081150506533,474202424.0
4096,6990,1.1,200,8,1,4,4,5,0.9,2016383,512,8192,100,300,100,1000,-1084.6338956495879,477402139.0
1024,10240,2.0,200,4,2,8,4,10,0.9,8388608,4608,9728,2000,300,75,1000,-944.5341779048642,480658582.0
1536,11264,6.5,1,8,4,8,4,10,0.9,1572864,512,6656,100,500,75,3000,-1010.6014133688196,483712363.0
2048,25600,4.0,1,24,2,8,4,10,0.9,2016383,5632,512,50,300,115,3000,-994.4621312590003,487070940.0
1792,7168,3.5,1,64,8,4,4,10,0.9,3145728,6656,10752,2000,300,75,3000,-962.1616546749253,490745703.0
6656,6990,3.0,400,8,16,4,4,5,0.9,1048576,5632,512,2000,300,125,500,-1026.9024320442697,493864461.0
4096,10240,1.5,200,20,1,8,4,5,0.9,524288,512,13824,100,300,100,3000,-1032.8042913069087,497236497.0
4096,29696,0.1,200,20,8,8,4,10,0.9,524288,4608,8704,2000,200,95,6000,-885.5049691342484,500780003.0
2560,6990,0.1,200,20,2,4,10,10,0.9,3145728,3584,512,50,500,75,500,-1021.307833523823,504116463.0
2560,25600,7.0,400,8,16,8,4,10,0.9,6291456,4608,1536,50,150,95,3000,-967.2313398184326,507219065.0
2048,30720,4.5,200,16,1,4,4,5,0.9,524288,12800,2560,100,200,125,8000,-961.8640318389648,510293805.0
2560,29696,1.0,300,20,4,4,4,10,0.9,524288,15872,15872,2000,200,75,1000,-1078.8555788045423,513452779.0
4096,13312,1.1,100,16,4,4,4,10,0.9,2016383,1536,11776,2000,200,85,500,-1045.4314572876544,516540486.0
3072,5120,4.0,200,16,1,8,10,5,0.9,3145728,5632,11776,500,300,85,500,-1050.5287610827033,519359424.0
1536,30720,1.0,300,8,4,4,4,5,0.9,524288,8704,8192,500,250,85,1000,-937.7473080288314,522355038.0
3072,8192,6.0,1,16,2,8,4,5,0.9,1048576,15872,10752,500,250,125,8000,-1021.6910395230952,525229076.0
2560,30720,1.1,400,64,2,4,4,10,0.9,3145728,11776,14848,1500,250,100,3000,-1037.297884341741,528268753.0
2048,29696,1.1,1,8,1,8,4,10,0.9,3145728,1536,1536,50,500,115,8000,-1056.5452949921566,531650708.0
2560,25600,1.5,200,8,16,4,4,10,0.9,3145728,11776,9728,2000,300,75,8000,-1041.3314903623032,534668600.0
1024,7168,7.5,1,8,16,4,4,5,0.9,524288,13824,15872,50,200,115,1000,-939.3480369235896,537675789.0
2048,29696,1.1,1,4,8,4,4,10,0.9,1572864,14848,15872,50,250,115,500,-1019.0106777956477,540584196.0
4096,5120,8.0,400,8,4,4,10,5,0.9,3145728,14848,14848,100,250,75,6000,-1069.5463180516094,543493459.0
2048,14336,0.5,200,64,2,4,4,10,0.9,4194304,9728,1536,100,500,75,500,-1063.6982843376177,546514722.0
4608,6990,0.1,1,32,4,4,4,10,0.9,3145728,6656,5632,1500,200,100,8000,-1072.2505621525627,549618940.0
4096,6990,1.1,1,8,2,4,4,5,0.9,2016383,1024,8704,100,200,125,1000,-1104.3676615906595,552614955.0
3584,5120,3.0,300,16,2,4,4,10,0.9,3145728,12800,2560,2000,150,75,1000,-1026.9869181451124,555704813.0
3584,29696,1.0,200,16,8,8,4,10,0.9,524288,10752,7680,100,500,85,6000,-1097.2304337151365,558677199.0
2560,12288,0.1,400,32,8,8,4,10,0.9,2016383,3584,12800,1000,200,85,1000,-1090.133675525739,561884095.0
5632,10240,1.0,400,64,4,8,4,10,0.9,2016383,1024,8192,50,200,125,6000,-1099.052234107491,565059795.0
7680,11264,0.5,300,64,8,8,4,5,0.9,2016383,512,10752,2000,150,100,6000,-1070.9174602482403,567795677.0
1792,9216,0.1,1,20,2,4,10,10,0.9,3145728,1024,14848,2000,200,125,3000,-1031.9058650902311,571149891.0
3584,5120,1.5,1,20,4,4,4,10,0.9,2016383,5632,512,500,200,100,1000,-992.1869429311519,574379477.0
5632,12288,1.1,400,4,1,4,4,10,0.9,1048576,512,8704,100,200,125,1000,-997.3197692999909,578017235.0
3584,27648,0.5,1,16,16,8,10,10,0.9,524288,7680,11776,50,150,95,500,-1081.7611511728421,581292703.0
4096,10240,0.5,400,24,2,8,4,10,0.9,2016383,1024,13824,2000,200,125,500,-1029.7252535781336,584524095.0
1280,6990,7.0,400,8,16,4,10,10,0.9,2016383,15872,11776,100,300,125,3000,-1083.8481771779072,587971657.0
7680,11264,7.5,400,8,2,4,10,5,0.9,4194304,7680,512,1000,200,115,1000,-998.2941655475366,591311746.0
3584,35840,3.5,400,64,8,8,10,5,0.9,2016383,13824,11776,100,150,95,3000,-1109.635268134575,594970680.0
1792,29696,3.5,400,24,4,8,10,5,0.9,1048576,15872,11776,2000,150,85,500,-1039.3403700350666,598598161.0
4096,6990,0.5,1,8,2,4,4,10,0.9,2016383,512,8192,100,300,125,1000,-908.9160043370499,602208119.0
2048,46080,1.1,300,16,4,4,10,5,0.9,1572864,13824,11776,100,150,85,3000,-1080.211381889807,605897989.0
3072,21504,1.1,400,24,4,4,10,5,0.9,6291456,6656,14848,500,300,75,3000,-1070.3743677939544,609186663.0
4096,35840,5.0,1,32,4,4,4,10,0.9,4194304,10752,9728,100,150,115,8000,-1072.633040896024,612168590.0
1536,35840,3.5,100,24,2,8,4,10,0.9,1048576,12800,11776,50,200,75,6000,-1063.1429430131327,615077678.0
4608,9216,0.1,1,8,16,8,4,10,0.9,2016383,4608,9728,50,200,115,8000,-1057.853030135024,617935301.0
5632,17408,6.5,100,4,1,8,4,10,0.9,3145728,9728,2560,1000,300,75,3000,-1081.2349754229342,620801187.0
1280,35840,6.0,200,24,16,4,4,5,0.9,4194304,13824,12800,100,150,115,1000,-1061.3362897436969,623692237.0
5632,14336,1.0,200,24,2,4,4,5,0.9,524288,1024,8704,50,200,85,3000,-1052.4018543337527,626118018.0
4096,25600,5.5,400,16,8,8,10,5,0.9,3145728,12800,15872,100,150,85,1000,-1039.0370815516776,628958560.0
2048,23552,0.1,1,64,4,4,4,10,0.9,1572864,3584,13824,100,200,75,1000,-1032.711210507798,631703426.0
5632,6144,1.0,200,20,8,4,10,5,0.9,3145728,512,8192,100,150,100,3000,-1101.4237670019854,634230716.0
2048,21504,0.5,400,24,1,4,10,5,0.9,524288,6656,9728,2000,250,75,500,-1064.7899134503264,637136937.0
3072,5120,1.1,1,64,4,4,10,5,0.9,3145728,2560,11776,2000,300,115,500,-1078.3080093232406,639863815.0
