shared_buffers,work_mem,random_page_cost,effective_io_concurrency,max_wal_size,max_parallel_workers_per_gather,max_parallel_workers,max_worker_processes,checkpoint_timeout,checkpoint_completion_target,effective_cache_size,temp_buffers,wal_buffers,bgwriter_lru_maxpages,bgwriter_delay,default_statistics_target,deadlock_timeout,cost,time,status,seed
6144,5120,4.5,1,8,4,8,4,10,0.9,2016383,12800,3584,1500,200,100,6000,-952.7936916598552,0.1,SUCCESS,1
3072,27648,0.5,400,20,1,4,4,10,0.9,4194304,9728,5632,500,500,100,500,-1009.2004381446428,0.1,SUCCESS,1
5120,11264,0.5,300,8,8,4,4,10,0.9,6291456,1536,512,1000,150,85,8000,-1060.2347632637138,0.1,SUCCESS,1
4096,5120,2.5,1,8,1,4,4,5,0.9,2016383,1536,9728,100,200,100,6000,-905.0952616096872,0.1,SUCCESS,1
5120,13312,5.0,200,32,16,4,4,10,0.9,1572864,1536,15872,500,150,95,500,-1047.1733736800654,0.1,SUCCESS,1
3584,14336,2.5,400,64,1,4,4,5,0.9,6291456,14848,5632,50,200,75,8000,-972.1182865773568,0.1,SUCCESS,1
3584,4096,8.0,200,16,2,4,4,5,0.9,3145728,11776,15872,500,250,85,6000,-1027.4545111710108,0.1,SUCCESS,1
3584,5120,3.0,1,16,2,4,4,5,0.9,3145728,12800,3584,2000,150,75,6000,-1028.4216043374613,0.1,SUCCESS,1
1792,35840,6.5,1,16,1,8,4,5,0.9,4194304,512,6656,1000,200,75,8000,-1089.1847503160693,0.1,SUCCESS,1
4096,6990,4.5,1,20,8,8,4,5,0.9,3145728,3584,1536,100,300,125,6000,-823.4557645531958,0.1,SUCCESS,1
3584,8192,2.0,200,24,16,4,4,5,0.9,2016383,3584,8192,100,200,100,1000,-1025.7240885822669,0.1,SUCCESS,1
4608,12288,4.0,1,32,2,8,4,10,0.9,524288,4608,1536,100,200,115,500,-1081.3285029588037,0.1,SUCCESS,1
1024,46080,3.5,100,16,4,4,4,5,0.9,524288,6656,10752,1000,250,100,500,-995.4921533338384,0.1,SUCCESS,1
1536,5120,2.0,1,24,1,8,4,10,0.9,4194304,11776,1536,1000,150,85,3000,-1067.9728415905784,0.1,SUCCESS,1
1280,13312,2.5,1,20,1,4,4,5,0.9,3145728,13824,11776,1000,200,115,8000,-1008.3774643077196,0.1,SUCCESS,1
768,6144,2.5,1,4,16,4,10,10,0.9,8388608,7680,512,50,250,100,500,-1008.9498828693264,0.1,SUCCESS,1
3072,35840,6.0,300,20,8,8,4,10,0.9,3145728,1024,2560,500,200,100,3000,-1010.286872456237,0.1,SUCCESS,1
3584,35840,3.5,1,16,16,8,4,5,0.9,524288,14848,512,100,200,115,8000,-973.2913645866288,0.1,SUCCESS,1
3584,6990,6.0,1,32,4,4,4,10,0.9,3145728,10752,7680,2000,200,85,3000,-1097.0651863605513,0.1,SUCCESS,1
3584,5120,6.0,1,24,2,8,4,10,0.9,3145728,512,2560,1500,250,75,8000,-1060.9546446155591,0.1,SUCCESS,1
2560,9216,0.5,1,16,8,4,4,10,0.9,3145728,3584,13824,1500,200,125,6000,-1099.6329258350293,0.1,SUCCESS,1
4608,11264,0.1,1,64,2,4,10,10,0.9,6291456,1024,7680,1500,150,75,6000,-999.4446691102122,0.1,SUCCESS,1
2048,7168,1.5,1,8,8,4,4,10,0.9,3145728,13824,6656,2000,300,75,500,-1045.5575792109887,0.1,SUCCESS,1
4096,35840,1.5,1,20,1,4,4,10,0.9,1572864,8704,11776,100,250,125,1000,-1036.7930428466395,0.1,SUCCESS,1
2560,7168,3.0,100,16,2,8,10,10,0.9,3145728,512,9728,1000,250,95,3000,-984.6781641253727,0.1,SUCCESS,1
1024,11264,0.5,200,8,8,8,4,5,0.9,3145728,3584,512,100,250,100,1000,-1079.4162938547852,0.1,SUCCESS,1
2048,6990,1.1,1,8,1,4,4,10,0.9,4194304,3584,14848,1500,200,125,8000,-1059.4383319931435,0.1,SUCCESS,1
1792,30720,7.0,100,4,16,4,10,10,0.9,3145728,5632,5632,50,300,125,6000,-1004.2376100823154,0.1,SUCCESS,1
3072,30720,3.0,1,24,1,4,4,10,0.9,3145728,1536,2560,1500,200,75,500,-998.100542180658,0.1,SUCCESS,1
4608,12288,2.5,1,24,2,8,4,10,0.9,3145728,11776,8704,500,200,125,500,-1074.1111326622213,0.1,SUCCESS,1
896,10240,3.0,300,24,8,4,4,10,0.9,2016383,12800,12800,1000,150,75,1000,-1009.6854186420496,0.1,SUCCESS,1
4608,6144,8.0,100,16,1,4,4,10,0.9,3145728,10752,8704,1500,150,125,1000,-1039.4555794898083,0.1,SUCCESS,1
2560,4096,1.1,100,20,2,4,4,10,0.9,3145728,8704,1536,50,200,125,500,-1076.8065284711115,0.1,SUCCESS,1
4096,19456,0.5,1,4,4,4,4,5,0.9,3145728,5632,512,100,200,115,500,-1015.1830511006012,0.1,SUCCESS,1
3584,4096,0.5,1,16,8,8,4,10,0.9,3145728,1536,11776,500,300,125,6000,-1045.3244516889963,0.1,SUCCESS,1
5120,4096,7.0,1,16,1,4,4,10,0.9,3145728,8704,2560,2000,250,75,500,-1062.7930695250664,0.1,SUCCESS,1
5120,9216,6.0,1,16,4,4,4,10,0.9,3145728,3584,7680,1500,200,85,3000,-946.8958096476904,0.1,SUCCESS,1
3584,46080,4.0,1,16,1,4,4,5,0.9,524288,14848,10752,50,200,125,1000,-1027.6282070138486,0.1,SUCCESS,1
1536,30720,0.5,400,64,1,4,4,10,0.9,4194304,9728,1536,50,300,85,500,-1046.72154104787,0.1,SUCCESS,1
2560,6144,4.0,1,32,16,8,4,10,0.9,6291456,4608,14848,100,200,115,8000,-970.7281794761528,0.1,SUCCESS,1
3584,46080,3.5,1,4,1,4,4,10,0.9,524288,14848,8704,500,200,95,1000,-998.692146152087,0.1,SUCCESS,1
5120,51200,5.5,200,20,16,8,10,5,0.9,6291456,11776,7680,1000,150,75,500,-922.7669510053717,0.1,SUCCESS,1
7168,25600,1.1,400,16,16,4,4,5,0.9,6291456,4608,8192,1000,300,115,500,-975.9757133966604,0.1,SUCCESS,1
768,6144,7.0,200,4,4,8,4,5,0.9,1572864,12800,10752,1000,200,75,1000,-950.9782582742044,0.1,SUCCESS,1
4096,7168,3.5,1,24,4,4,10,5,0.9,1048576,7680,1536,100,300,85,1000,-1024.3836018597972,0.1,SUCCESS,1
2560,9216,7.5,1,32,1,4,4,5,0.9,8388608,3584,12800,50,300,100,500,-1082.736111709321,0.1,SUCCESS,1
3072,8192,0.1,200,64,1,8,4,10,0.9,8388608,512,512,100,500,75,500,-1015.1278700864974,0.1,SUCCESS,1
4096,8192,1.1,200,8,8,8,4,5,0.9,1048576,3584,6656,1000,150,125,6000,-1061.1080294386124,0.1,SUCCESS,1
3584,29696,3.0,1,16,4,4,4,10,0.9,1048576,12800,12800,2000,200,115,6000,-1076.8256857134534,0.1,SUCCESS,1
4096,5120,2.5,1,16,2,4,4,10,0.9,3145728,12800,2560,2000,150,75,6000,-984.6240027084752,0.1,SUCCESS,1
3584,9216,2.5,1,8,4,4,4,10,0.9,3145728,5632,1536,2000,250,85,8000,-1070.8249484058692,0.1,SUCCESS,1
2560,13312,2.5,400,64,1,8,4,10,0.9,6291456,10752,13824,500,200,85,3000,-1014.1956633049036,0.1,SUCCESS,1
3072,5120,0.5,1,16,8,4,4,5,0.9,6291456,3584,15872,1500,250,100,3000,-1028.600930857735,0.1,SUCCESS,1
1792,5120,8.0,200,64,2,4,4,10,0.9,3145728,13824,512,100,300,125,500,-1042.8917266942542,0.1,SUCCESS,1
4096,6990,6.0,1,64,8,8,4,10,0.9,3145728,2560,13824,2000,150,125,3000,-996.241093183802,0.1,SUCCESS,1
3584,5120,8.0,200,16,4,4,4,10,0.9,4194304,3584,2560,2000,150,75,1000,-939.6441603051125,0.1,SUCCESS,1
