compaction_throughput_mb_per_sec,concurrent_compactors,concurrent_reads,concurrent_writes,file_cache_size_in_mb,memtable_heap_space_in_mb,memtable_offheap_space_in_mb,memtable_allocation_type,row_cache_size_in_mb,sstable_preemptive_open_interval_in_mb,Throughput,Timestamp
64,4,42,46,256,3754,2048,heap_buffers,1,60,-966.0,208279235.0
64,4,42,46,256,2730,2048,heap_buffers,1,60,-13425.0,209134084.0
64,6,18,23,256,1706,2048,heap_buffers,13,60,-1285.0,210379444.0
64,5,50,40,256,1365,4096,heap_buffers,2,60,-956.0,211636022.0
64,4,43,46,256,2730,2048,heap_buffers,1,60,-1862.0,212838759.0
64,4,46,46,256,2730,2048,heap_buffers,1,60,-1053.0,214154749.0
64,4,42,48,256,2730,2048,heap_buffers,1,60,-1132.0,215488185.0
64,4,42,46,256,2389,2048,heap_buffers,1,60,-1770.0,216726878.0
64,4,42,46,256,2730,2389,heap_buffers,1,60,-748.0,218019169.0
64,4,42,46,256,2730,2048,heap_buffers,2,60,-1586.0,219259105.0
64,7,42,60,1024,4096,3413,heap_buffers,0,60,-2065.0,220454462.0
64,6,42,46,256,2730,2048,heap_buffers,1,60,-1106.0,221687517.0
64,4,42,46,256,3072,2048,heap_buffers,1,60,-1185.0,222984693.0
64,4,42,46,256,2048,2048,heap_buffers,1,60,-1522.0,224264648.0
64,4,42,46,256,2730,2048,heap_buffers,1,40,-1670.0,225487822.0
64,10,41,60,1024,3754,3413,heap_buffers,0,60,-1343.0,226688226.0
64,4,42,46,256,3413,2048,heap_buffers,2,60,-864.0,228001812.0
64,5,42,46,256,2730,2048,heap_buffers,1,60,-1050.0,229254350.0
64,4,42,46,256,2730,2048,heap_buffers,1,70,-714.0,230493349.0
64,4,42,46,256,4096,2048,heap_buffers,1,60,-1328.0,231766064.0
64,4,42,46,256,3413,2389,heap_buffers,1,60,-757.0,233117152.0
64,4,42,46,512,2730,2048,heap_buffers,1,60,-761.0,234380660.0
