compaction_throughput_mb_per_sec,concurrent_compactors,concurrent_reads,concurrent_writes,file_cache_size_in_mb,memtable_heap_space_in_mb,memtable_offheap_space_in_mb,memtable_allocation_type,row_cache_size_in_mb,sstable_preemptive_open_interval_in_mb,Throughput,Timestamp
64,6,22,57,256,3072,1365,heap_buffers,5,70,-771.0,191990368.0
64,16,53,44,2048,3072,1365,offheap_objects,2,10,-1323.0,195027069.0
64,3,22,56,256,3072,1365,heap_buffers,5,90,-950.0,198214905.0
16,14,43,61,1024,3072,2730,offheap_buffers,12,80,-1347.0,201282873.0
64,6,22,57,256,3413,1365,heap_buffers,5,90,-742.0,204496577.0
64,6,22,59,256,3072,1365,heap_buffers,5,90,-905.0,207749807.0
64,6,22,57,256,3072,1365,heap_buffers,6,90,-5088.0,210455483.0
64,6,22,57,256,3072,1365,heap_buffers,7,90,-5191.0,213279791.0
64,6,22,57,256,3072,1365,heap_buffers,8,90,-898.0,216490832.0
64,6,22,58,256,3072,1365,heap_buffers,7,90,-7606.0,219071802.0
64,6,22,57,256,3072,1365,heap_buffers,0,90,-879.0,222275654.0
64,6,22,57,256,3072,1365,heap_buffers,5,80,-1189.0,225343591.0
64,6,22,57,256,3072,1365,offheap_objects,5,90,-739.0,228532475.0
64,6,22,57,1024,3072,1365,heap_buffers,5,90,-33616.0,230629165.0
64,6,22,57,2048,3072,1365,heap_buffers,5,90,-747.0,233835482.0
16,15,46,64,1024,3072,1365,heap_buffers,5,90,-4039.0,236771529.0
16,6,22,57,1024,3072,1365,heap_buffers,5,90,-889.0,239952001.0
64,3,21,63,1024,3072,2730,heap_buffers,0,90,-866.0,243151863.0
64,6,22,58,256,3072,1365,heap_buffers,5,90,-697.0,246351860.0
64,2,12,59,1024,4096,1365,heap_buffers,3,90,-1244.0,249418751.0
64,6,25,57,1024,3072,1365,heap_buffers,5,90,-5119.0,252099536.0
64,8,22,57,1024,3072,1365,heap_buffers,5,90,-936.0,255250373.0
64,6,23,57,1024,3072,1365,heap_buffers,5,90,-794.0,258430500.0
32,6,22,57,1024,3072,1365,heap_buffers,5,90,-743.0,261629542.0
64,6,22,58,1024,3072,1365,heap_buffers,7,90,-1775.0,264595328.0
64,6,22,57,1024,3072,1365,heap_buffers,6,90,-4499.0,267525484.0
64,6,22,57,1024,3072,1024,heap_buffers,5,90,-5554.0,270312440.0
64,6,22,57,1024,3072,1706,heap_buffers,5,90,-1926.0,273274634.0
64,6,22,57,1024,3072,1365,heap_buffers,5,100,-841.0,276509922.0
64,3,9,13,1024,2730,1024,heap_buffers,5,90,-1793.0,279498025.0
16,13,39,49,1024,4096,3413,offheap_objects,12,100,-4007.0,282213911.0
64,6,22,57,1024,3413,1365,heap_buffers,5,90,-825.0,285401477.0
