shared_buffers,work_mem,random_page_cost,max_wal_size,max_parallel_workers_per_gather,effective_cache_size,temp_buffers,wal_buffers,Throughput,Timestamp
7680,30720,2.5,4,1,4194304,15872,6656,-1116.0314842085393,270193298.0
7168,8192,3.5,4,2,4194304,15872,6656,-1098.2382596854757,272115023.0
2560,27648,1.5,4,1,3145728,15872,5632,-1176.614403682015,274053334.0
3584,30720,1.5,4,1,3145728,14848,7680,-1227.4047367687344,275986653.0
6144,51200,7.0,64,8,6291456,1024,7680,-1188.9426859232951,278090764.0
3584,6990,1.5,8,8,3145728,14848,8704,-1165.3372867140915,280036376.0
3584,30720,3.0,4,4,2016383,14848,6656,-1229.193083518277,281984453.0
3584,30720,8.0,4,1,2016383,14848,6656,-1193.0796705986431,283908776.0
4096,35840,4.0,64,2,1572864,14848,4608,-1140.6649565813611,285870430.0
4608,15360,2.0,16,1,2016383,512,1536,-1176.6275346959799,287814612.0
3584,30720,7.5,4,8,1572864,14848,8704,-1107.040982683151,289764054.0
3584,29696,1.5,8,8,2016383,14848,6656,-1152.8347871618962,291709366.0
3584,30720,2.5,4,1,3145728,15872,6656,-1230.6010003648275,293649737.0
6144,30720,3.0,4,4,3145728,14848,13824,-1115.0623228527058,295587259.0
3584,35840,3.0,20,1,3145728,15872,8192,-1113.682667469891,297521480.0
6656,30720,3.0,4,4,3145728,15872,7680,-1120.2689146666714,299476728.0
3584,30720,1.5,4,4,1572864,14848,7680,-1209.4794334475805,301398053.0
3584,35840,2.5,4,1,3145728,14848,5632,-1200.436528003948,303348422.0
3584,30720,6.5,8,1,3145728,15872,6656,-1160.0659814698279,305269113.0
3584,30720,3.0,4,4,3145728,15872,6656,-1180.9695218116626,307215267.0
3584,6990,1.5,4,1,2016383,14848,7680,-1152.027716623458,309135898.0
3584,30720,1.5,16,2,2016383,14848,6656,-1132.4472255923315,311096551.0
6656,9216,1.0,8,16,1048576,5632,8192,-1157.910327807762,313023605.0
3584,30720,2.5,4,1,1572864,14848,6656,-1145.4120593393347,314967664.0
3584,30720,1.5,8,1,3145728,14848,7680,-1124.8028925486446,316896937.0
3584,30720,2.5,4,8,2016383,14848,7680,-1207.6057825462706,318830092.0
3584,30720,1.5,4,2,4194304,14848,7680,-1121.3294598967145,320772665.0
3072,29696,6.0,4,1,1572864,15872,7680,-1234.7339916215594,322712331.0
2560,23552,3.0,4,1,1572864,15872,7680,-1084.8784742731953,324665152.0
3072,29696,8.0,4,1,1572864,15872,7680,-1136.2631672495338,326593193.0
1280,30720,4.0,4,1,2016383,15872,7680,-1141.7946219613157,328551993.0
2560,30720,3.0,4,4,1572864,14848,7680,-1146.867895164808,330491051.0
3072,27648,6.0,4,2,1572864,15872,7680,-1144.063897024897,332446968.0
3072,29696,6.0,4,1,524288,15872,7680,-1047.945777090384,334375231.0
3584,29696,6.0,4,1,1572864,15872,7680,-1165.4050586742544,336358536.0
3584,30720,3.0,4,1,3145728,15872,7680,-1126.723962350219,338297372.0
3072,30720,2.5,4,1,1048576,15872,7680,-1172.2982144468194,340245057.0
3584,35840,1.1,4,1,3145728,15872,7680,-1089.151556257558,342186802.0
3584,35840,2.5,4,2,3145728,14848,7680,-1125.149684107883,344119890.0
3072,29696,6.0,4,1,1048576,14848,7680,-1114.0488073384174,346077473.0
3072,30720,2.0,4,1,3145728,15872,7680,-1058.4511586010478,348020093.0
3072,29696,2.5,4,1,3145728,15872,6656,-1158.8420560273235,349978726.0
3584,30720,2.0,4,1,3145728,15872,5632,-1128.6934344679933,351910972.0
3584,8192,3.0,16,4,3145728,512,10752,-1155.1112718356467,353853353.0
1024,21504,0.5,20,16,524288,15872,512,-1177.4042069682553,355768675.0
3072,30720,1.5,4,4,1572864,15872,7680,-1153.7010889799783,357711153.0
3584,30720,2.0,4,8,2016383,14848,7680,-1131.0359294984246,359623702.0
3584,30720,1.5,4,1,3145728,15872,7680,-1134.6105254843474,361572129.0
3584,6144,2.5,64,4,3145728,14848,7680,-1084.1665463368288,363706134.0
3072,29696,6.0,8,2,3145728,15872,7680,-962.8888243048447,365722633.0
3584,30720,3.5,8,2,3145728,15872,7680,-1139.2842566139334,367847521.0
3072,30720,8.0,64,8,6291456,1024,7680,-1090.8636580119419,369731076.0
1792,25600,5.5,20,2,3145728,5632,11776,-1067.9677366831406,371650673.0
3072,30720,3,4,1,3145728,14848,6656,-1117.251439607762,373074876.0
3584,27648,3.0,4,4,2016383,14848,6656,-1030.510563677786,374946172.0
3072,29696,6.5,4,1,3145728,15872,5632,-1172.4092341158516,376821432.0
3072,29696,6.0,4,2,3145728,13824,7680,-1048.9318627154223,378685598.0
3584,29696,3,4,16,2016383,14848,1536,-1185.3410552974794,380547906.0
3584,30720,6.0,8,1,1572864,15872,7680,-1108.9684676455677,382397733.0
1536,25600,3.5,32,1,1048576,11776,5632,-1123.909184598267,384244692.0
3584,29696,3.0,8,4,2016383,15872,6656,-1147.0379883598391,386105919.0
3072,29696,5.5,4,1,3145728,15872,7680,-1158.0010148270026,387960743.0
3584,29696,2.5,4,2,3145728,15872,6656,-1131.8042511248696,389809728.0
4096,29696,5.5,4,8,3145728,14848,3584,-1130.2915779490686,391654431.0
3072,29696,6.0,8,1,1572864,15872,7680,-1172.0755262788841,393520863.0
3072,29696,6.0,4,1,3145728,15872,7680,-1116.008335938426,395377455.0
1536,19456,6.0,8,2,3145728,512,11776,-1161.225699539843,397236724.0
3584,30720,2.5,8,1,3145728,13824,6656,-1173.9629164708413,399062020.0
6656,6144,8,20,1,6291456,11776,1536,-1155.3231250176461,400899732.0
6144,51200,7.0,32,4,3145728,512,7680,-1139.8102014938438,402729611.0
4608,30720,6.5,4,8,2016383,14848,1536,-1092.6210837247502,404579605.0
3072,29696,6.0,16,1,1572864,15872,7680,-1165.4010335352514,406414067.0
2048,29696,6.0,8,16,1572864,15872,7680,-1150.1791173065383,408269318.0
3584,29696,6.5,4,4,2016383,14848,5632,-1125.8904994759814,410104482.0
3584,35840,5.5,4,4,2016383,15872,6656,-1137.395070258755,412027345.0
7168,15360,3,24,1,6291456,6656,10752,-1096.4088780515742,413866048.0
2560,27648,1.1,4,2,3145728,14848,7680,-1170.9172544228536,415732964.0
3072,29696,5,4,2,1572864,15872,7680,-1165.3108192361972,417581382.0
3072,30720,2.5,8,8,3145728,15872,7680,-1124.7119177971567,419451814.0
3584,30720,3,4,4,524288,14848,7680,-1166.6890670986961,421293617.0
3584,29696,3.0,8,2,3145728,14848,7680,-1113.9109335127685,423160449.0
5120,46080,8,64,4,6291456,14848,5632,-1133.746905656877,425249136.0
3584,30720,3,4,4,2016383,15872,6656,-1143.067515027036,427097421.0
1536,29696,6.0,16,1,3145728,14848,5632,-1120.5032769178608,428945114.0
1792,9216,5.5,8,2,3145728,14848,12800,-1170.2793706913046,430803881.0
3584,30720,3,4,4,2016383,14848,3584,-1104.5800179705318,432656542.0
3584,30720,1.5,4,1,524288,14848,7680,-1136.3961278774636,434516658.0
4096,51200,8.0,4,4,3145728,14848,4608,-1108.8103742037938,436370201.0
3584,30720,3.0,8,2,3145728,14848,7680,-1174.1150614841174,438219802.0
3584,30720,2,4,4,3145728,14848,6656,-1137.5221733142196,440067996.0
3584,51200,7.5,24,2,8388608,14848,512,-1155.0269177793487,441918456.0
3584,30720,2.5,4,2,3145728,15872,7680,-1077.5167879248547,443767392.0
3072,27648,1.5,4,4,1572864,14848,6656,-1139.0394144047605,445613928.0
3072,29696,6.0,4,1,2016383,15872,7680,-1148.6275182366162,447458948.0
2048,29696,6,32,2,3145728,15872,13824,-1140.0038412867957,449300194.0
3584,30720,3,4,8,2016383,14848,6656,-1132.4194670588631,451165318.0
4608,51200,8,24,1,6291456,10752,8192,-1147.6127280660294,453005164.0
2048,5120,5.5,8,4,2016383,14848,2560,-1133.1746235948535,454867190.0
3584,30720,1.5,4,1,2016383,14848,7680,-1148.0199950211736,456734081.0
2560,30720,3.0,8,2,3145728,15872,7680,-1146.2781662059767,458596681.0
3584,30720,1.5,4,2,3145728,14848,7680,-1126.4213429520535,460444017.0
3584,30720,1.5,4,1,3145728,14848,8192,-1135.1705249499917,462312674.0
2560,23552,5,8,2,4194304,512,11776,-1115.5588987456338,464149387.0
4096,27648,2.5,4,4,1572864,14848,7680,-1159.565992680529,466017953.0
3584,30720,1.5,4,1,4194304,14848,7680,-1137.1630911555003,467875837.0
1792,29696,5,8,2,3145728,15872,7680,-1169.950757029858,469742228.0
7168,27648,2.5,4,1,3145728,15872,6656,-1156.1626579232375,471857962.0
3072,29696,6.0,4,2,1572864,15872,7680,-1124.014618979651,473735376.0
3072,8192,6.0,20,2,3145728,14848,10752,-1137.1557448882197,475588278.0
