block_size,cache_index_and_filter_blocks,compaction_readahead_size,compression_type,level0_file_num_compaction_trigger,level0_slowdown_writes_trigger,level0_stop_writes_trigger,max_background_compactions,max_background_flushes,max_bytes_for_level_multiplier,max_write_buffer_number,min_write_buffer_number_to_merge,write_buffer_size,cost,time,status,seed
4,True,0,snappy,4,4,1,4,10,4,8,1,268435456,-61,0.1,SUCCESS,1
4,True,40000,snappy,2,128,256,256,10,5,16,8,1,-64,0.1,SUCCESS,1
4,True,400000,zstd,16,512,16,-1,1,0,128,16,8192,-37,0.1,SUCCESS,1
262144,True,40000,zstd,8,256,1024,64,7,8,32,32,16384,-2886,0.1,SUCCESS,1
32,True,200000,lz4,32,16,16,64,5,6,128,16,16384,-60,0.1,SUCCESS,1
128,False,120000,zstd,4,20,64,16,7,7,2,2,1048576,-829,0.1,SUCCESS,1
262144,True,400000,zstd,32,256,2,2,3,4,64,32,512,-2683,0.1,SUCCESS,1
262144,False,240000,lz4,8,256,1024,256,10,8,16,4,1073741824,-899,0.1,SUCCESS,1
8,True,160000,zstd,128,32,1024,4,4,0,128,16,536870912,-57,0.1,SUCCESS,1
131072,False,320000,snappy,8,256,512,1,9,7,1,1,524288,-5089,0.1,SUCCESS,1
4096,True,120000,snappy,16,32,512,256,5,8,64,1,8388608,-1151,0.1,SUCCESS,1
