compaction_throughput_mb_per_sec,concurrent_compactors,concurrent_reads,concurrent_writes,file_cache_size_in_mb,memtable_heap_space_in_mb,memtable_offheap_space_in_mb,memtable_allocation_type,row_cache_size_in_mb,sstable_preemptive_open_interval_in_mb,Throughput,Timestamp
16,7,45,25,2048,3413,3413,offheap_buffers,0,10,-363.0,189344172.0
16,7,45,25,1024,4096,3413,offheap_buffers,4,10,-4950.0,190475071.0
16,7,45,25,2048,4096,3754,offheap_buffers,4,10,-414.0,191839464.0
16,7,45,25,2048,4096,3413,offheap_buffers,4,0,-706.0,193205183.0
16,7,45,25,512,4096,3413,offheap_buffers,4,10,-1026.0,194559100.0
16,7,45,25,1024,4096,3413,offheap_objects,4,10,-587.0,195907709.0
16,7,45,25,2048,4096,3413,offheap_buffers,4,20,-858.0,197231870.0
16,7,55,25,2048,4096,3413,offheap_buffers,4,10,-685.0,198588982.0
16,2,26,25,2048,4096,3413,offheap_buffers,4,10,-761.0,199952562.0
16,7,45,25,1024,4096,3413,offheap_buffers,4,0,-649.0,201306391.0
16,7,45,25,2048,4096,3413,offheap_buffers,7,10,-776.0,202675977.0
16,7,45,25,2048,4096,3072,offheap_buffers,4,10,-629.0,204029345.0
16,7,45,25,2048,4096,3413,heap_buffers,4,10,-787.0,205396326.0
16,7,45,25,2048,4096,3413,offheap_buffers,4,30,-617.0,206746499.0
16,7,45,25,1024,4096,2730,offheap_buffers,4,10,-940.0,208071191.0
64,7,45,25,2048,3413,3413,offheap_buffers,4,10,-246.0,209442079.0
16,7,45,25,1024,3754,3413,offheap_buffers,4,10,-144.0,210835182.0
16,7,10,25,2048,3413,3413,offheap_buffers,4,10,-282.0,212249874.0
16,7,45,25,1024,4096,3413,offheap_buffers,5,10,-259.0,213630073.0
16,7,45,25,2048,4096,4096,offheap_buffers,4,10,-274.0,214931910.0
16,9,45,25,2048,4096,3413,offheap_buffers,4,10,-396.0,216312394.0
16,7,46,25,2048,4096,3413,offheap_buffers,4,10,-436.0,217664718.0
16,7,45,25,2048,4096,2730,offheap_buffers,4,10,-6138.0,218613710.0
16,7,45,25,2048,3413,2730,offheap_buffers,4,10,-3332.0,219629595.0
16,7,45,25,2048,3413,2389,offheap_buffers,4,10,-392.0,220996094.0
16,7,45,25,2048,4096,2048,offheap_buffers,4,10,-398.0,222303357.0
16,7,45,25,2048,3413,2048,offheap_buffers,4,10,-531.0,223658383.0
16,7,45,25,2048,3413,2730,offheap_buffers,4,0,-296.0,225023599.0
16,7,45,25,2048,4096,2389,offheap_buffers,4,10,-571.0,226394378.0
16,7,45,32,2048,4096,3413,offheap_buffers,4,10,-447.0,227747029.0
16,7,45,25,2048,4096,2730,heap_buffers,4,10,-374.0,229115058.0
16,7,45,25,2048,3754,2730,offheap_buffers,4,10,-401.0,230475940.0
64,7,45,25,2048,4096,3413,offheap_buffers,4,10,-411.0,231810182.0
16,7,45,25,1024,4096,3072,offheap_buffers,4,10,-546.0,233137126.0
64,6,23,25,256,3072,3413,offheap_objects,1,50,-528.0,234498920.0
16,7,45,25,256,4096,2730,offheap_buffers,4,10,-648.0,235847612.0
32,6,48,33,2048,1024,1365,offheap_objects,7,50,-417.0,237198287.0
16,7,45,25,2048,2730,2730,offheap_buffers,4,10,-693.0,238571506.0
16,7,45,25,2048,4096,3413,offheap_buffers,5,10,-471.0,239919341.0
16,10,45,25,2048,3413,3413,offheap_buffers,4,10,-305.0,241286018.0
64,12,38,17,2048,2730,3413,offheap_objects,0,0,-548.0,242639193.0
16,2,53,16,512,1706,1024,offheap_buffers,3,70,-412.0,244003908.0
32,10,61,18,2048,3413,4096,offheap_buffers,6,50,-806.0,245283021.0
16,7,45,25,2048,4096,3413,offheap_objects,4,10,-479.0,246661650.0
16,7,44,13,2048,4096,3413,offheap_buffers,4,10,-485.0,248017720.0
16,7,45,25,2048,4096,2730,offheap_buffers,4,0,-609.0,249374732.0
16,7,45,25,512,4096,2730,offheap_buffers,4,10,-334.0,250758006.0
32,11,17,56,1024,3754,3413,offheap_buffers,10,90,-661.0,252107791.0
16,7,45,25,2048,4096,2730,offheap_buffers,4,20,-419.0,253460493.0
16,7,45,23,2048,4096,3413,offheap_buffers,4,10,-1615.0,254603570.0
16,7,45,23,2048,3413,3413,offheap_buffers,4,10,-524.0,255949557.0
16,7,45,23,2048,4096,2730,offheap_buffers,4,10,-371.0,257305821.0
16,4,45,25,2048,2048,3413,offheap_buffers,1,10,-648.0,258663540.0
16,7,45,24,2048,4096,3413,offheap_buffers,4,10,-333.0,260037612.0
16,7,45,29,2048,4096,2730,offheap_buffers,4,10,-883.0,261389146.0
16,7,45,26,2048,4096,2730,offheap_buffers,4,10,-571.0,262751477.0
16,7,45,25,1024,4096,3413,offheap_buffers,4,20,-804.0,264095851.0
16,15,19,33,1024,4096,2048,offheap_buffers,9,80,-777.0,265434567.0
16,7,45,24,2048,4096,2730,offheap_buffers,4,10,-715.0,266782325.0
16,7,45,23,2048,3754,3413,offheap_buffers,4,10,-900.0,268143024.0
16,8,45,25,2048,4096,2730,offheap_buffers,4,10,-1025.0,269395378.0
16,7,45,25,2048,3413,3413,offheap_buffers,3,10,-640.0,270779862.0
32,11,37,42,2048,3413,3754,offheap_objects,14,80,-672.0,272125922.0
16,7,45,23,1024,4096,3413,offheap_buffers,4,10,-1012.0,273490283.0
16,7,45,25,2048,3072,2730,offheap_buffers,4,10,-588.0,274839071.0
32,7,45,25,2048,4096,2730,offheap_buffers,4,10,-485.0,276196230.0
16,7,45,25,512,4096,3413,offheap_buffers,4,0,-537.0,277548367.0
16,7,45,25,2048,4096,2730,offheap_objects,4,10,-852.0,278914798.0
16,7,45,25,1024,4096,3754,offheap_buffers,4,10,-694.0,280244295.0
16,7,47,25,2048,4096,2730,offheap_buffers,4,10,-959.0,281611226.0
16,7,46,25,2048,4096,2730,offheap_buffers,4,10,-633.0,282966435.0
16,7,45,23,512,3413,3413,offheap_buffers,4,10,-1087.0,284324412.0
16,7,45,25,512,3754,3413,offheap_buffers,4,10,-546.0,285661454.0
16,7,45,24,2048,3413,3413,offheap_buffers,4,10,-1161.0,287000931.0
32,6,30,8,2048,1706,1024,offheap_objects,2,40,-566.0,288349953.0
16,7,45,29,2048,3413,3413,offheap_buffers,4,10,-894.0,289702226.0
16,7,52,25,2048,3413,3413,offheap_buffers,4,10,-5171.0,290815786.0
16,7,51,25,2048,3413,3413,offheap_buffers,4,10,-929.0,292164970.0
16,7,51,25,2048,4096,3413,offheap_buffers,4,10,-685.0,293509200.0
16,7,45,24,2048,3413,3413,offheap_buffers,4,0,-842.0,294847659.0
16,7,54,25,2048,4096,3413,offheap_buffers,4,10,-839.0,296199258.0
16,7,53,25,2048,3413,3413,offheap_buffers,4,10,-716.0,297554163.0
16,7,52,25,1024,3413,3413,offheap_buffers,4,10,-534.0,298932163.0
32,8,42,29,2048,3754,2048,offheap_buffers,8,40,-399.0,300284779.0
16,7,40,25,2048,4096,3413,offheap_buffers,4,10,-549.0,301472421.0
16,7,52,25,2048,3754,3413,offheap_buffers,4,10,-826.0,302839382.0
16,7,52,25,2048,3413,3413,offheap_buffers,4,0,-564.0,304188367.0
16,7,45,25,2048,3413,3413,offheap_buffers,4,40,-2133.0,305383094.0
16,7,45,25,2048,4096,3413,offheap_buffers,4,40,-394.0,306742758.0
16,7,52,25,2048,4096,3413,offheap_buffers,4,10,-672.0,308104816.0
16,7,45,25,2048,3413,3413,offheap_buffers,4,50,-299.0,309463480.0
16,7,47,25,2048,3413,3413,offheap_buffers,4,10,-346.0,310762878.0
32,13,58,24,256,3413,4096,offheap_buffers,9,20,-388.0,311994331.0
16,7,52,25,512,3413,3413,offheap_buffers,4,10,-240.0,313317996.0
16,7,52,25,2048,3413,4096,offheap_buffers,4,10,-391.0,314636244.0
16,8,45,25,1024,4096,3413,offheap_buffers,4,10,-426.0,315898819.0
16,7,45,23,2048,4096,3413,offheap_buffers,4,0,-266.0,317148665.0
16,7,52,25,2048,3413,3413,offheap_buffers,4,40,-436,318371594.0
16,7,52,23,2048,3413,3413,offheap_buffers,4,10,-273,319620118.0
16,7,52,26,2048,3413,3413,offheap_buffers,4,10,-181,320873740.0
16,7,52,25,2048,3413,3072,offheap_buffers,4,10,-402,322136526.0
16,7,52,25,2048,3413,3413,heap_buffers,4,10,-479,323350749.0
16,3,52,25,2048,3413,3413,offheap_buffers,4,10,-247,324584008.0
16,7,52,25,2048,3413,3413,offheap_buffers,5,10,-588,325809160.0
