dbms-memory-heap-max_size,dbms-memory-pagecache-size,dbms-memory-off_heap-max_size,dbms-tx_state-memory_allocation,dbms-memory-pagecache-flush-buffer-enabled,dbms-memory-pagecache-flush-buffer-size_in_pages,dbms-jvm-additional-1,dbms-jvm-additional-2,Throughput,Timestamp
12100,4000,4.0,OFF_HEAP,true,1,-XX:+UseSerialGC,-XX:SurvivorRatio=4,-8.14,266946049.0
12100,36000,3.0,ON_HEAP,false,2,-XX:+UseSerialGC,-XX:SurvivorRatio=2,-8.09,268701772.0
12100,20000,1.0,OFF_HEAP,true,16,-XX:+UseSerialGC,-XX:SurvivorRatio=4,-8.08,270445549.0
32100,4000,3.0,OFF_HEAP,true,16,-XX:+UseParallelGC,-XX:SurvivorRatio=2,-8.26,272114050.0
20100,8000,4.5,OFF_HEAP,false,32,-XX:+UseSerialGC,-XX:SurvivorRatio=8,-8.07,273826706.0
20100,16000,4.0,OFF_HEAP,true,16,-XX:+UseSerialGC,-XX:SurvivorRatio=2,-8.14,275568944.0
20100,16000,3.0,ON_HEAP,true,256,-XX:+UseSerialGC,,-8.02,277278881.0
16100,32000,1.0,OFF_HEAP,true,256,-XX:+UseG1GC,-XX:SurvivorRatio=8,-8.21,279004733.0
4100,24000,3.5,ON_HEAP,false,1,-XX:+UseParallelGC,,-8.35,280691024.0
24100,28000,1.5,OFF_HEAP,false,1,-XX:+UseG1GC,-XX:SurvivorRatio=4,-8.34,282400751.0
16100,16000,1.5,OFF_HEAP,false,512,-XX:+UseG1GC,,-8.24,284119489.0
28100,8000,3.5,OFF_HEAP,true,32,-XX:+UseSerialGC,,-8.13,285865258.0
32100,28000,3.5,OFF_HEAP,false,1,-XX:+UseG1GC,,-8.41,287649240.0
32100,8000,4.5,ON_HEAP,true,128,-XX:+UseParallelGC,-XX:SurvivorRatio=4,-8.28,289381351.0
4100,20000,0.5,ON_HEAP,true,512,-XX:+UseG1GC,-XX:SurvivorRatio=12,-8.22,291115713.0
36100,28000,1.0,OFF_HEAP,false,512,-XX:+UseParallelGC,-XX:SurvivorRatio=4,-8.32,292906680.0
8100,24000,2.0,OFF_HEAP,true,128,-XX:+UseSerialGC,-XX:SurvivorRatio=4,-8.06,294675555.0
20100,20000,1.0,OFF_HEAP,true,64,-XX:+UseSerialGC,-XX:SurvivorRatio=4,-8.14,296455453.0
20100,36000,3.5,OFF_HEAP,true,16,-XX:+UseSerialGC,,-8.23,298235114.0
24100,36000,4.5,ON_HEAP,true,64,-XX:+UseSerialGC,-XX:SurvivorRatio=12,-8.27,299986067.0
36100,20000,4.5,ON_HEAP,false,16,-XX:+UseSerialGC,-XX:SurvivorRatio=12,-8.22,301829185.0
36100,36000,3.0,OFF_HEAP,false,256,-XX:+UseG1GC,,0,302129199.0
32100,28000,0.5,OFF_HEAP,true,512,-XX:+UseG1GC,-XX:SurvivorRatio=12,-8.37,303832367.0
16100,12000,4.5,OFF_HEAP,true,128,-XX:+UseG1GC,-XX:SurvivorRatio=4,-8.33,305551639.0
12100,32000,4.0,OFF_HEAP,false,16,-XX:+UseParallelGC,-XX:SurvivorRatio=2,-8.25,307269899.0
24100,12000,3.5,OFF_HEAP,false,32,-XX:+UseSerialGC,-XX:SurvivorRatio=8,-8.03,309016563.0
12100,16000,1.0,ON_HEAP,false,1,-XX:+UseParallelGC,-XX:SurvivorRatio=4,-8.46,310761930.0
4100,36000,0.5,OFF_HEAP,false,16,-XX:+UseG1GC,-XX:SurvivorRatio=2,-8.34,312523960.0
